Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1992,Propane,British Columbia,PADD II,Railway,477,3000.2346,30671.1,26521.14381,6.43,21.046779
1992,Propane,British Columbia,PADD III,Railway,27125,170610.825,1545537.8,1282739.545,5.697835,17.90113
1992,Propane,British Columbia,PADD IV,Railway,3733.3,23481.71034,274060.36,222300.4226,7.340968,22.54027
1992,Propane,British Columbia,PADD IV,Truck,1592.9,10019.02242,128884.8,103844.4605,8.091204,24.677806
1992,Propane,British Columbia,PADD V,Railway,79410.5,499476.1629,6107674.42,4988913.143,7.691268,23.781529
1992,Propane,British Columbia,PADD V,Truck,1966.5,12368.8917,140438.1,115801.0535,7.141525,22.29104
1992,Propane,British Columbia,Total,Railway,110745.8,696568.9328,7957943.68,6520474.254,7.185774,22.287618
1992,Propane,British Columbia,Total,Truck,3559.4,22387.91412,269322.9,219645.514,7.566525,23.359162
1992,Propane,Manitoba,PADD II,Railway,167863.7,1055829.1,14778606.4,12077907.44,8.803932,27.23621
1992,Propane,Manitoba,PADD II,Truck,60957.3,383409.2255,5696738.3,4655877.035,9.345457,28.912624
1992,Propane,Manitoba,PADD IV,Railway,2178,13699.1844,191010.6,156274.4996,8.77,27.160764
1992,Propane,Manitoba,Total,Railway,170041.7,1069528.285,14969617,12234181.94,8.803497,27.235241
1992,Propane,Manitoba,Total,Truck,60957.3,383409.2255,5696738.3,4655877.035,9.345457,28.912624
1992,Propane,New Brunswick,PADD I,Marine,5083.1,31971.68238,758729.05,625819.7035,14.926502,46.604982
1992,Propane,New Brunswick,Other,Marine,97.5,613.2555,29740,24573.1493,30.502564,95.404307
1992,Propane,New Brunswick,Total,Marine,5180.6,32584.93788,788469.05,650392.8528,15.219647,47.523395
1992,Propane,Ontario,PADD I,Railway,339937.5,2138138.888,33890696.76,27936019.05,9.969684,31.108364
1992,Propane,Ontario,PADD I,Truck,108293.5,681144.4563,11564560.05,9451859.56,10.678905,33.038979
1992,Propane,Ontario,PADD II,Pipeline,719035.3,4522588.23,66545148.13,55145132.44,9.254781,29.031448
1992,Propane,Ontario,PADD II,Railway,110827.5,697082.8095,12555686.08,10082691.76,11.329034,34.438222
1992,Propane,Ontario,PADD II,Truck,80899.6,508842.3041,7907895.88,6568262.354,9.77495,30.733772
1992,Propane,Ontario,PADD III,Railway,22879,143904.3342,2537415,2123791.069,11.090585,35.138767
1992,Propane,Ontario,PADD IV,Truck,1602,10076.2596,146422.8,123298.4661,9.14,29.134456
